,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,3519.9315137310296,59.329010726043876,386.739,56.49999999999999,0.809269755400566
1,high,3904.1140740890282,62.48291025623749,412.06899999999996,57.687999999999995,0.819806310538929
2,low,3108.497844399052,55.75390429735887,343.9151,56.489999999999995,0.7956524082560383
3,close,3518.229468051762,59.314664865037905,387.089,56.44,0.8088205396660711
4,Volume USD,1959787632162707.8,44269488.72714375,2370979112.84,7075754.01124086,4.998243936271612
5,Volume LTC,61593431403164.88,7848148.278617376,468689439.1,99785.28829832,31.91088160496497
