,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,4519.20320666918,67.22501920170183,252.1757,123.18450000000001,0.7077590387878385
1,high,4831.260751952818,69.50727121641893,285.01300000000003,127.71050000000001,0.7056950390483413
2,low,4203.20232005501,64.8321087120804,244.68990000000002,120.35925,0.7096346519261928
3,close,4515.049209258941,67.19411588270911,252.1688,123.21125,0.7076422181943078
4,Volume USD,23901408849196.664,4888906.713079792,45832661.82504056,3357361.910000097,1.3325105976641929
5,Volume SOL,4424470823.133695,66516.69582243013,661387.77303547,42181.226023565,1.3623031670568866
