,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,24099.955972626463,10582.465,604.1,3653.1075,10582.465,38596.2590447675
1,high,24645.739423832772,10877.002851055,604.1,3745.6000000000004,10877.002851055,39881.5
2,low,23519.892085136704,10232.0439836,604.1,3562.5,10232.0439836,37494.5
3,close,24128.56997962833,10584.465,604.1,3654.4,10584.465,38657.0
4,Volume USD,128445842.52488141,57124456.69,0.0,20605243.95682414,57124456.69,156688363.97
5,Volume BTC,13470.841808767032,6646.344999999999,0.0,2259.7121010175,6646.344999999999,16913.7675
