,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,0.004432948702981907,0.0665803927818236,0.43003600000000003,0.075851,0.8538663315444339
1,high,0.004627871849924333,0.06802846352758772,0.43964000000000003,0.07721725000000002,0.8498746916801138
2,low,0.004261913519978171,0.06528333263535319,0.31517900000000004,0.074397,0.8595289606512182
3,close,0.004448515274197232,0.06669719090184557,0.422036,0.07586775000000001,0.8543861594672094
4,Volume USD,7755150180687.357,2784807.0275491904,72181862.5894129,477254.67228263454,2.9450329831502513
5,Volume TRX,1057166360983088.2,32514094.80491635,713614750.0403486,11750924.643847072,2.190671744811297
