,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,0.6489868065815984,0.47796,0.1892,0.3075,0.47796,0.67197
1,high,0.675797639355272,0.49173,0.192,0.31794,0.49173,0.7013324999999999
2,low,0.6200945366017461,0.4622,0.1961,0.29435,0.4622,0.6367849999999999
3,close,0.6498117629281397,0.47808,0.1892,0.30744000000000005,0.47808,0.6731575
4,Volume USD,16973451.865014654,4271807.061363634,0.0,1782637.5131494713,4271807.061363634,12509620.932437954
5,Volume XRP,25803557.004627403,10176123.95965755,0.0,3779503.0575,10176123.95965755,25696324.106918145
