,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,6.82513279251535e-05,0.008261436190224646,0.1191000000000001,0.0026000000000000467,0.008242406514287126
1,high,0.002940150337427399,0.054223153149069066,2.708,0.00770000000000004,0.05380483768132315
2,low,8.768979192801182e-05,0.009364282777020984,0.16686999999999996,0.0039999999999998925,0.009376088427612918
3,close,6.908141138997283e-05,0.008311522808124442,0.1191000000000001,0.0027999999999999137,0.008291991021671505
4,Volume USD,48228603923.688354,219610.11799024278,5073073.720749999,82576.40416109389,2.3277158091710115
5,Volume DAI,48143336055.12488,219415.89745304437,5061192.25,82231.25600401,2.3309500821823894
