,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,0.5573041704718417,0.461555,0.25628,0.35754,0.461555,0.6972625
1,high,0.5770014992389649,0.474735,0.2937,0.36766750000000004,0.474735,0.7179475
2,low,0.5363629223744293,0.44615499999999997,0.34,0.346785,0.44615499999999997,0.6641600000000001
3,close,0.5567871156773211,0.46104500000000004,0.25877,0.35769249999999997,0.46104500000000004,0.6972425
4,Volume USD,1511909.987470039,852751.3007717729,6982.543345182645,455191.70951957343,852751.3007717729,1750233.717402421
5,Volume ADA,2794622.9472896224,1720662.600668095,9822.53203143,997216.8034192375,1720662.600668095,3195536.9606103553
