,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,28.032840256790106,5.294604825366111,28.1814,2.9021,0.6820421064911241
1,high,30.358946549885225,5.509895330211385,29.4295,3.0032999999999994,0.6873867810542866
2,low,25.332012367499672,5.033091730487302,27.843899999999998,2.7569,0.6740018993903164
3,close,27.639991724093118,5.25737498416207,28.171499999999998,2.9051,0.6790783430041987
4,Volume USD,4671386341292.491,2161339.015816929,21071700.83813975,671901.2274079211,2.200400501387634
5,Volume DOT,11991297733.52329,109504.78406683102,1118888.71440658,85775.57369129,1.3448710159644555
