,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,1295.093291998767,834.65,10.16,195.70749999999998,834.65,2245.125
1,high,1333.000336279701,869.53,10.16,203.345,869.53,2320.025
2,low,1252.7543652996983,780.665,10.16,187.125,780.665,2166.4249999999997
3,close,1295.955403298345,838.13,10.16,196.0325,838.13,2246.70387845
4,Volume USD,58379346.62951453,24210570.13793312,0.0,7761404.424195766,24210570.13793312,70133367.2337958
5,Volume ETH,96099.0016816131,42049.03,0.0,11260.834944465,42049.03,128412.3675
