,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,94.9829186453577,95.4765,11.833,25.0505,95.4765,148.235
1,high,98.49477092846271,99.67,154.0,25.992,99.67,153.70250000000001
2,low,91.35984063926942,91.41749999999999,12.117,24.20325,91.41749999999999,144.5625
3,close,94.95492800608828,95.475,21.885,25.02625,95.475,148.2375
4,Volume USD,3668943.9631097405,2024556.0483733837,10230.183709304,929006.1380722888,2024556.0483733837,4286368.048072386
5,Volume SOL,48826.646983529,28855.16730928,63.6363754,14987.7464681225,28855.16730928,57168.9724916875
