,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,145.6859453621347,145.79000000000002,160.16,81.1585,145.79000000000002,186.1725
1,high,150.93729574332912,149.0,140.0,83.975,149.0,193.69
2,low,140.17121886912324,142.43,67.0,78.42,142.43,176.20999999999998
3,close,145.78236626429478,145.755,13.6,81.1975,145.755,186.01
4,Volume USD,1738154.1614179588,519166.4098401741,117.01,221994.31695612412,519166.4098401741,1283441.5620666575
5,Volume XMR,11287.432558129593,4366.4078712499995,32958.86,1893.8374587399999,4366.4078712499995,11614.539999999999
