,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,0.07480809418579269,0.2735106838604165,1.3616100000000002,0.3397225,0.49077451480194134
1,high,0.08233683802661575,0.2869439632168897,1.39195,0.3502799999999999,0.49730193698864544
2,low,0.06735128172732527,0.2595212548661964,1.23064,0.3173750000000001,0.48385383112859426
3,close,0.07433182902404296,0.27263864183941894,1.36069,0.33955,0.4896640639892666
4,Volume USD,4120464668499.724,2029892.7726605965,31396823.1728238,1295042.0078828475,1.3426016029283108
5,Volume ADA,14794090223360.143,3846308.648998432,72347509.59434581,2198320.1571911178,1.3763247212754735
