,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,745302618.8722402,27300.231113897924,111417.37,34943.151544767505,1.132791742230004
1,high,774511886.8125266,27830.053661689668,111656.8,36135.9,1.1292034368738646
2,low,715299793.278251,26745.08914321003,109058.0,33932.0,1.137126354423687
3,close,747056728.2284645,27332.338506400516,111427.37,35002.6,1.1327790469753125
4,Volume USD,3.6122265974344616e+16,190058585.6370204,2491338721.602182,136083120.01317585,1.4796787650032652
5,Volume BTC,352578108.3325131,18777.063357525134,266768.61,14654.055398982502,1.393904228413159
