,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,0.07797519391752578,0.0632935,0.0176,0.026274,0.0632935,0.102125
1,high,0.0800452869035346,0.0647845,0.01559,0.027085249999999998,0.0647845,0.1043025
2,low,0.07595245259204712,0.0618735,0.0216,0.02529325,0.0618735,0.09969025000000001
3,close,0.07806445617452135,0.0632845,0.0176,0.02629725,0.0632845,0.102165
4,Volume USD,945594.5123474747,190645.95407873928,404.90990106544535,72697.41718010465,190645.95407873928,549952.0894627392
5,Volume TRX,14842066.08403446,4301433.488931555,1339.91826687,1255080.5958161524,4301433.488931555,13006005.239663225
