,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,1.0023087524140595,1.0004,1.0,0.9994,1.0004,1.002
1,high,1.0077746813441484,1.0021,1.0,1.0003,1.0021,1.008
2,low,0.9987408767864041,0.9992,1.0,0.9965,0.9992,1.0005
3,close,1.0023555001931248,1.0005,1.0,0.9995,1.0005,1.0023
4,Volume USD,94345.76039093635,28333.484178845218,2.49925,6441.43835175624,28333.484178845218,89017.84251285013
5,Volume DAI,94131.52994147893,28328.2,5.0,6415.02607681,28328.2,88646.28208082
