,Metric,Mean,Median,Mode,Q1 (25%),Q2 (50%),Q3 (75%)
0,open,7.762870906321402,6.1854,4.0081,4.7241,6.1854,7.6262
1,high,8.01571325209444,6.3681,4.1166,4.8684,6.3681,7.8717
2,low,7.467474105102818,6.0234,5.0,4.5592,6.0234,7.3161
3,close,7.741927037319115,6.1871,4.0054,4.7133,6.1871,7.6184
4,Volume USD,982248.0109661528,225641.19179467624,9631.141703449082,82771.52038760096,225641.19179467624,754672.7477955221
5,Volume DOT,81424.0048056216,40022.73140077,1757.7706165,16334.49298851,40022.73140077,102110.0666798
