,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,0.33513148128012454,0.5789054165233942,3.1526,0.36446999999999996,0.892014152911146
1,high,0.36707737127541307,0.6058691040772859,3.25,0.3833924999999999,0.8965244457724064
2,low,0.30400731677360104,0.5513685852255287,3.0606,0.34243499999999993,0.8891685907235198
3,close,0.3366121365511739,0.5801828475154828,3.1516,0.3657174999999999,0.8928475608091494
4,Volume USD,2338921924873852.5,48362401.97585158,866554341.33,10726983.419288483,2.849296793631896
5,Volume XRP,2683962780425918.5,51806976.17527893,833378535.3785019,21916821.049418144,2.0077455277188445
