,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,6794.173943657643,82.42677928718095,476.106,105.01400000000001,0.565784016311875
1,high,7450.09928090234,86.31395762506978,510.87,109.715,0.5718530811089116
2,low,6133.979272492596,78.31972467068941,445.249,97.78999999999998,0.5587432662893224
3,close,6800.986087545184,82.4680913295875,477.377,104.81249999999999,0.5656931866511052
4,Volume USD,19439628677297.395,4409039.427959042,59701139.85,1061447.2451105334,2.5366216218486723
5,Volume XMR,413794181.44354206,20341.93160551726,301614.49856,9720.70254126,1.8021752511704985
