,Metric,Variance,Std. Deviation,Range,Interquartile Range,Coef. of Variation
0,open,1534520.3730505572,1238.7575925299336,4800.418000000001,2049.4175,0.9565006630666055
1,high,1618256.159400879,1272.106976398164,4857.576,2116.6800000000003,0.9543185712529634
2,low,1441504.5065292234,1200.6267140661262,4710.539,1979.2999999999997,0.9583895672787366
3,close,1534873.628703724,1238.9001689820386,4800.598,2050.6713784500002,0.9559743844802879
4,Volume USD,9934404978819888.0,99671485.28450796,1745748724.7255592,62371962.80960004,1.7073073105295355
5,Volume ETH,20465957684.302834,143059.28031519952,1620939.91,117151.532555535,1.4886656241151304
