https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1749686400000,2025-06-12 00:00:00,ETH/USDC,2682.41,2774.47,2420,2774.47,2458.92,0.966838,330.56,0.122023,14,2546.87
1749600000000,2025-06-11 00:00:00,ETH/USDC,2830,2879.97,2764.23,2879.97,710.66,0.252701,635.58,0.225648,22,2812.99
1749513600000,2025-06-10 00:00:00,ETH/USDC,2667.23,2820,2653.89,2820,4012.51,1.452778,939.07,0.345712,32,2762.43
1749427200000,2025-06-09 00:00:00,ETH/USDC,2585.57,2620,2562.42,2620,800.38,0.306935,750.38,0.287597,13,2607.85
1749340800000,2025-06-08 00:00:00,ETH/USDC,2585.57,2585.57,2585.57,2585.57,4.08,0.001581,4.08,0.001581,1,2585.57
1749254400000,2025-06-07 00:00:00,ETH/USDC,2397.93,2500.03,2397.9,2500.03,320.46,0.132511,66.52,0.026611,4,2419.11
1749168000000,2025-06-06 00:00:00,ETH/USDC,2401.06,2401.06,2380.06,2380.06,330.27,0.138606,0,0,4,2382.84
1749081600000,2025-06-05 00:00:00,ETH/USDC,2440.5,2440.5,2390.05,2400.73,161.39,0.066984,0,0,7,2409.58
1748995200000,2025-06-04 00:00:00,ETH/USDC,2549.86,2701.13,2546.63,2546.63,349.73,0.136993,335.59,0.13144,4,2553.14
1748908800000,2025-06-03 00:00:00,ETH/USDC,2615.52,2634.67,2485.55,2562.67,1329.16,0.517059,446,0.172912,9,2570.76
1748822400000,2025-06-02 00:00:00,ETH/USDC,2390.03,2431.75,2390.03,2431.75,181.59,0.074777,0,0,2,2428.51
1748736000000,2025-06-01 00:00:00,ETH/USDC,2545.85,2545.85,2543.83,2543.83,8.64,0.003395,8.64,0.003395,2,2545.35
1748649600000,2025-05-31 00:00:00,ETH/USDC,2590.71,2619.95,2590.71,2619.95,90.86,0.034943,90.86,0.034943,2,2600.33
1748563200000,2025-05-30 00:00:00,ETH/USDC,2581.2,2728.83,2535.08,2535.08,14782.62,5.792544,399.08,0.150583,10,2552.32
1748476800000,2025-05-29 00:00:00,ETH/USDC,2711.12,2780,2575.12,2575.12,4476.64,1.65908,1234.18,0.45008,26,2698.85
1748390400000,2025-05-28 00:00:00,ETH/USDC,2680.26,2705.08,2507.78,2705.08,1167.77,0.44699,700.84,0.260797,3,2615.56
1748304000000,2025-05-27 00:00:00,ETH/USDC,2634.33,2711.11,2561.13,2568.68,2443.53,0.948574,2442.04,0.948001,16,2576.4
1748217600000,2025-05-26 00:00:00,ETH/USDC,2610.42,2610.42,2479.04,2479.04,18.69,0.00745,4.44,0.001704,2,2510.3
1748131200000,2025-05-25 00:00:00,ETH/USDC,2540.85,2540.85,2540.85,2540.85,2.99,0.00118,2.99,0.00118,1,2540.85
1748044800000,2025-05-24 00:00:00,ETH/USDC,2464.92,2464.92,2464.77,2464.77,224.22,0.09097,0,0,3,2464.87
1747958400000,2025-05-23 00:00:00,ETH/USDC,2655,2729.97,2434.51,2434.51,1451.35,0.568846,1435.44,0.562407,36,2557.54
1747872000000,2025-05-22 00:00:00,ETH/USDC,2593.79,2683.42,2361.98,2361.98,151.98,0.058964,138.78,0.053374,4,2579.65
1747785600000,2025-05-21 00:00:00,ETH/USDC,2339.16,2339.16,2339.16,2339.16,271.08,0.11589,271.08,0.11589,2,2339.16
1747699200000,2025-05-20 00:00:00,ETH/USDC,2406.91,2410.02,2350.91,2350.91,1749.88,0.738491,1565.09,0.661769,6,2369.84
1747612800000,2025-05-19 00:00:00,ETH/USDC,2549.02,2549.02,2320.03,2320.03,243.15,0.104151,6.95,0.00273,7,2335.83
1747526400000,2025-05-18 00:00:00,ETH/USDC,2449.72,2569.82,2330,2384.7,596.15,0.244189,117.91,0.04639,32,2444.28
1747440000000,2025-05-17 00:00:00,ETH/USDC,2462,2462,2449.69,2449.69,312.78,0.127355,151.14,0.0617,3,2456.05
1747353600000,2025-05-16 00:00:00,ETH/USDC,2601.17,2645.04,2464.37,2477.31,169.5,0.06491,141.24,0.053472,5,2613.03
1747267200000,2025-05-15 00:00:00,ETH/USDC,2639.03,2639.03,2467.87,2467.87,4155.45,1.660835,4046.75,1.617486,28,2502.1
1747180800000,2025-05-14 00:00:00,ETH/USDC,2598.51,2688.86,2465.62,2533.44,51.32,0.020253,9.38,0.003494,8,2536.44
1747094400000,2025-05-13 00:00:00,ETH/USDC,2556.98,2730,2310.12,2556.58,3570.21,1.477276,3164.1,1.307517,67,2422.89
1747008000000,2025-05-12 00:00:00,ETH/USDC,2520,2629.9,2369.33,2380.33,7733.88,3.059864,3804.21,1.530444,47,2529.2
1746921600000,2025-05-11 00:00:00,ETH/USDC,2599.99,2599.99,2100,2510,4023.94,1.751679,2698.39,1.184974,48,2302.49
1746835200000,2025-05-10 00:00:00,ETH/USDC,2419.33,2590,2282.29,2590,9561.47,3.715895,9259.37,3.592293,94,2573.81
1746748800000,2025-05-09 00:00:00,ETH/USDC,2229.99,2480,2088.4,2260.03,15290.9,6.362716,9783,4.051184,128,2405.11
1746662400000,2025-05-08 00:00:00,ETH/USDC,1840.66,2229.93,1839.99,2087.85,3475.95,1.683255,3015.5,1.458896,117,2068.99
1746576000000,2025-05-07 00:00:00,ETH/USDC,1819.99,1849.99,1780.01,1845.67,461.82,0.253414,337.3,0.183693,20,1822.81
1746489600000,2025-05-06 00:00:00,ETH/USDC,1784.81,1839.85,1740,1818.35,2719.72,1.529158,1483.39,0.83291,32,1778.81
1746403200000,2025-05-05 00:00:00,ETH/USDC,1800.42,1836.79,1790,1821.51,852.13,0.471336,122.03,0.066987,13,1807.95
1746316800000,2025-05-04 00:00:00,ETH/USDC,1859.53,1859.53,1810,1810,24916.26,13.492809,12021.36,6.50868,33,1846.63
1746230400000,2025-05-03 00:00:00,ETH/USDC,1810.01,1810.01,1810.01,1810.01,37.77,0.02087,10.69,0.005909,2,1810.01
1746144000000,2025-05-02 00:00:00,ETH/USDC,1810.01,1860,1801.67,1810.01,1410.77,0.770052,1330.89,0.725921,17,1832.2
1746057600000,2025-05-01 00:00:00,ETH/USDC,1810,1869.92,1800.42,1869.92,3410,1.881471,930.09,0.513119,53,1812.46
1745971200000,2025-04-30 00:00:00,ETH/USDC,1809.18,1809.18,1740,1766.32,1240.78,0.696202,510.81,0.288522,56,1782.44
1745884800000,2025-04-29 00:00:00,ETH/USDC,1802.07,1839.71,1780,1793.12,426,0.236084,81.49,0.044652,40,1804.69
1745798400000,2025-04-28 00:00:00,ETH/USDC,1780,1829.93,1740.01,1797.74,1481.67,0.829969,653.1,0.364967,56,1785.31
1745712000000,2025-04-27 00:00:00,ETH/USDC,1830.82,1850,1790,1790,3232.08,1.793753,2992.98,1.661283,54,1801.88
1745625600000,2025-04-26 00:00:00,ETH/USDC,1776.54,1830,1776.54,1817.41,3300,1.848371,2862.03,1.604204,32,1785.46
1745539200000,2025-04-25 00:00:00,ETH/USDC,1779.99,1829.99,1750.95,1826.77,4213.46,2.350716,1263.2,0.697801,72,1792.59
1745452800000,2025-04-24 00:00:00,ETH/USDC,1790.02,1796,1730,1773.5,89321.47,49.782205,459.82,0.260409,93,1794.28
1745366400000,2025-04-23 00:00:00,ETH/USDC,1780,1830,1760.03,1801.7,92416.38,50.789668,1187.91,0.653345,39,1819.59
1745280000000,2025-04-22 00:00:00,ETH/USDC,1560,1770,1550,1770,4148.34,2.447091,2612.48,1.522115,86,1696.81
1745193600000,2025-04-21 00:00:00,ETH/USDC,1615.3,1650.23,1560.01,1560.01,2466.41,1.528773,285.01,0.174774,93,1614.31
1745107200000,2025-04-20 00:00:00,ETH/USDC,1639.97,1639.97,1570,1570,142.99,0.090502,5.99,0.003658,6,1580.15
1745020800000,2025-04-19 00:00:00,ETH/USDC,1587.31,1639.97,1580.15,1580.59,4434.05,2.746916,3738.82,2.311898,194,1614.31
1744934400000,2025-04-18 00:00:00,ETH/USDC,1562.29,1610.43,1560.01,1594.04,267.58,0.171227,212.03,0.135687,10,1562.81
1744848000000,2025-04-17 00:00:00,ETH/USDC,1583.76,1613.71,1560.01,1560.01,1227.37,0.768978,715.27,0.444996,35,1596.24
1744761600000,2025-04-16 00:00:00,ETH/USDC,1580,1610,1540.01,1577.32,2154.66,1.3642,173.1,0.108054,39,1579.57
1744675200000,2025-04-15 00:00:00,ETH/USDC,1630.75,1643.15,1590,1591.99,495.74,0.307166,0,0,11,1614.2
1744588800000,2025-04-14 00:00:00,ETH/USDC,1609.28,1689.98,1600.01,1618.68,40697.12,24.180862,3377.91,2.028438,50,1683.1
1744502400000,2025-04-13 00:00:00,ETH/USDC,1610.03,1640,1570,1570,1688.01,1.047089,158.92,0.098044,31,1612.19
1744416000000,2025-04-12 00:00:00,ETH/USDC,1589.82,1669.97,1572.69,1669.97,417.39,0.261015,236.64,0.14756,17,1599.43
1744329600000,2025-04-11 00:00:00,ETH/USDC,1539.98,1584.72,1530.09,1567.84,238.9,0.153849,224.47,0.144418,12,1552.97
1744243200000,2025-04-10 00:00:00,ETH/USDC,1631,1659.95,1480,1530,5964.67,3.668298,662.18,0.408789,48,1627.37
1744156800000,2025-04-09 00:00:00,ETH/USDC,1476.28,1680,1390,1630.78,2062.62,1.350099,1625.46,1.066782,109,1530.7
1744070400000,2025-04-08 00:00:00,ETH/USDC,1590,1610,1450,1470.13,2458.23,1.597323,1101.48,0.706169,67,1539.48
1743984000000,2025-04-07 00:00:00,ETH/USDC,1589.99,1630,1420,1580,8861.43,5.882861,899.59,0.579384,127,1507.05
1743897600000,2025-04-06 00:00:00,ETH/USDC,1812.44,1819.99,1540,1540,1820.89,1.107863,132.06,0.073627,65,1646.95
1743811200000,2025-04-05 00:00:00,ETH/USDC,1826.93,1829.99,1770,1781.59,189.95,0.105892,73.85,0.040466,17,1794.22
1743724800000,2025-04-04 00:00:00,ETH/USDC,1820,1830,1760,1825.84,3754.36,2.067743,2850.18,1.56676,32,1815.74
1743638400000,2025-04-03 00:00:00,ETH/USDC,1823.08,1845.37,1750.01,1810,954.77,0.53136,427.9,0.234474,33,1797.28
1743552000000,2025-04-02 00:00:00,ETH/USDC,1870.01,1950,1780.01,1800.22,2998.61,1.61533,726.7,0.389975,75,1856.79
1743465600000,2025-04-01 00:00:00,ETH/USDC,1800.01,1929.93,1800.01,1870,97241.75,50.941102,96251.19,50.404259,70,1908.94
1743379200000,2025-03-31 00:00:00,ETH/USDC,1819.76,1850,1770,1800.01,1649.96,0.906879,1396.01,0.766981,26,1819.49
1743292800000,2025-03-30 00:00:00,ETH/USDC,1832.58,1847.17,1770,1770.01,81436.56,44.772857,80605.32,44.311489,160,1818.88
1743206400000,2025-03-29 00:00:00,ETH/USDC,1896.4,1896.4,1800,1800,687.64,0.372431,108.24,0.057747,28,1846.62
1743120000000,2025-03-28 00:00:00,ETH/USDC,1980.01,2022.02,1860.01,1890.5,5561.44,2.915781,438.91,0.228284,53,1907.9
1743033600000,2025-03-27 00:00:00,ETH/USDC,2030.26,2040,1980.01,2008.44,2726.46,1.348432,2539.1,1.254851,46,2021.97
1742947200000,2025-03-26 00:00:00,ETH/USDC,2079.54,2086.22,1980.5,1980.5,737.46,0.362641,274.46,0.132312,40,2034.22
1742860800000,2025-03-25 00:00:00,ETH/USDC,2060.6,2097.12,2040,2083,15440.32,7.480887,562.07,0.271301,113,2063.97
1742774400000,2025-03-24 00:00:00,ETH/USDC,2013.96,2108.85,1975.25,2088.5,9370.54,4.495415,4821.26,2.312151,157,2084.6
1742688000000,2025-03-23 00:00:00,ETH/USDC,1994.94,2019.99,1960.01,2004.68,6537.35,3.250837,3420.6,1.698019,137,2011
