https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1750550400000,2025-06-22 00:00:00,BTC/USDC,101893.18,102956.67,94687.54,99996.5,40712.88,0.41133,18981.08,0.190571,115,99013.14
1750464000000,2025-06-21 00:00:00,BTC/USDC,102852.84,103926.87,101001,101893.18,9858.24,0.09637,1649.26,0.016062,45,102299.49
1750377600000,2025-06-20 00:00:00,BTC/USDC,104745.49,106345.18,102287.85,103369.69,3825.33,0.036837,1427.22,0.013754,33,103854.28
1750291200000,2025-06-19 00:00:00,BTC/USDC,104749.01,110162.1,103263.24,104054.06,12486.28,0.117674,8844.73,0.082825,61,106149.41
1750204800000,2025-06-18 00:00:00,BTC/USDC,104016.63,105237.92,103300.44,104749,2957.16,0.028426,377.14,0.003587,24,104032.1
1750118400000,2025-06-17 00:00:00,BTC/USDC,106522.75,107539.91,103822,103822,14903.03,0.142604,11718.43,0.112371,50,104517.52
1750032000000,2025-06-16 00:00:00,BTC/USDC,104808.75,108987.64,104808.75,107103.17,6859.4,0.063917,6349.03,0.059118,63,107327.11
1749945600000,2025-06-15 00:00:00,BTC/USDC,105548.99,105740.41,104519.27,105399.67,3564.77,0.033943,1115.59,0.010559,47,105024.09
1749859200000,2025-06-14 00:00:00,BTC/USDC,105019.64,105249,103482.99,104353.65,4979.33,0.047603,797.28,0.007626,55,104601.71
1749772800000,2025-06-13 00:00:00,BTC/USDC,102847.45,105999,102802,105999,9940.8,0.095283,5013.7,0.047887,69,104337.5
1749686400000,2025-06-12 00:00:00,BTC/USDC,108194.27,108237.54,105582.07,105752.9,15719.44,0.145968,11743.81,0.108815,138,107695.58
1749600000000,2025-06-11 00:00:00,BTC/USDC,110011.62,110259.69,107670.73,108140.15,19579.88,0.17939,8751,0.079995,67,109148.4
1749513600000,2025-06-10 00:00:00,BTC/USDC,109974.56,110250,107808.77,110144.59,22122.05,0.203489,20680.95,0.190157,44,108716.75
1749427200000,2025-06-09 00:00:00,BTC/USDC,105749,110000,105147.96,110000,10582.66,0.09879,6769.45,0.06277,108,107136.74
1749340800000,2025-06-08 00:00:00,BTC/USDC,104977.97,106280,104018.39,106280,2927.71,0.02786,2034.28,0.019335,55,105089.23
1749254400000,2025-06-07 00:00:00,BTC/USDC,104099,105693.26,104001.01,105164.79,5565.88,0.052918,5328.76,0.050638,69,105181.73
