https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1748649600000,2025-05-31 00:00:00,LTC/USDC,84.94,87.49,83.21,87.49,192.87,2.289925,116.23,1.370152,12,84.23
1748563200000,2025-05-30 00:00:00,LTC/USDC,92.86,92.86,86.13,86.13,417.72,4.63585,149.68,1.636361,35,90.14
1748476800000,2025-05-29 00:00:00,LTC/USDC,96.28,98.53,92.97,92.97,207.06,2.148019,86.06,0.893644,14,96.39
1748390400000,2025-05-28 00:00:00,LTC/USDC,97.08,97.08,93.81,93.81,81.03,0.861321,1.03,0.010611,6,94.07
1748304000000,2025-05-27 00:00:00,LTC/USDC,94.86,95.78,93.23,93.83,449.93,4.750549,150.42,1.573722,14,94.71
1748217600000,2025-05-26 00:00:00,LTC/USDC,93.82,97.08,93.82,94.43,64.56,0.680379,10.71,0.110341,6,94.91
1748131200000,2025-05-25 00:00:00,LTC/USDC,95.57,95.67,93.63,95.67,238.44,2.506246,160.2,1.683807,20,95.14
1748044800000,2025-05-24 00:00:00,LTC/USDC,97.29,97.59,95.54,95.54,164.36,1.703597,85.75,0.881185,10,96.48
1747958400000,2025-05-23 00:00:00,LTC/USDC,100.57,102.72,95.01,95.01,409.08,4.139254,137.36,1.37687,25,98.86
1747872000000,2025-05-22 00:00:00,LTC/USDC,97.84,100,96.06,100,94.72,0.967696,79.16,0.806064,16,97.89
1747785600000,2025-05-21 00:00:00,LTC/USDC,93.67,97.08,93.61,95.92,817.8,8.576292,416.33,4.353534,29,95.36
1747699200000,2025-05-20 00:00:00,LTC/USDC,96.9,97.07,92.37,94.32,569.07,6.050071,136.78,1.446158,37,94.09
1747612800000,2025-05-19 00:00:00,LTC/USDC,100,100,95.46,98.53,363.61,3.757245,136.29,1.418737,18,96.78
1747526400000,2025-05-18 00:00:00,LTC/USDC,97.83,101.51,96.01,99.09,658.76,6.680352,353.49,3.576609,40,98.61
